,State,City,Population,Total,Murder andNonnegligentmanslaughter,Rape1,Robbery,Aggravatedassault,Total,Burglary,Larceny-theft,Motorvehicletheft,Arson2
78,Pennsylvania,Pittsburgh,305932,656.36,17.98,29.42,262.15,346.81,3114.42,526.26,2365.89,222.27,44.45
79,Tennessee,Memphis,652765,2003.32,27.73,90.38,529.59,1355.62,6297.83,1460.25,4224.49,613.08,55.92
80,Tennessee,Nashville,674942,1138.17,16.3,72.9,303.14,745.84,3817.96,631.31,2806.61,380.03,10.37
81,Texas,Arlington4,397377,516.89,4.78,63.92,144.95,303.24,3197.72,453.22,2402.25,342.24,7.3
82,Texas,Austin,971949,414.84,2.57,85.81,101.55,224.91,3189.57,450.64,2525.03,213.9,7.82
83,Texas,Corpus Christi,329256,702.49,6.38,70.46,142.75,482.91,3565.31,677.89,2665.4,222.02,17.31
84,Texas,Dallas,1338551,774.64,12.48,62.08,327.0,373.09,3185.09,737.66,1856.26,591.16,26.22
85,Texas,El Paso,688667,378.85,2.76,53.87,58.08,264.13,1818.88,188.33,1514.37,116.17,5.52
86,Texas,Fort Worth,873069,560.21,8.02,65.17,147.3,339.72,3215.32,585.98,2319.4,309.94,17.3
87,Texas,Garland,236243,316.62,3.39,54.6,135.03,123.6,3032.47,513.88,2175.73,342.87,6.35
88,Texas,Houston,2338235,1095.23,11.5,58.42,417.96,607.34,4128.41,731.66,2900.82,495.93,28.44
89,Texas,Irving,242062,226.8,3.3,22.31,94.19,107.0,2539.43,400.31,1845.39,293.73,9.5
90,Texas,Laredo,260669,321.86,3.84,43.73,59.08,215.22,2483.61,335.29,2083.1,65.22,27.24
91,Texas,Plano,290413,149.79,5.17,27.89,40.98,75.75,1733.74,250.68,1366.33,116.73,8.61
92,Texas,San Antonio,1520712,707.5,8.15,83.51,151.11,464.72,4844.84,770.82,3622.65,451.37,13.61
93,Virginia,Chesapeake,240119,418.96,4.58,36.23,82.46,295.69,2272.21,276.11,1891.98,104.12,8.33
94,Virginia,Norfolk,245190,555.9,14.68,55.06,151.31,334.84,3748.93,471.47,2984.62,292.83,3.26
95,Virginia,Virginia Beach,454353,137.56,3.08,22.45,59.87,52.16,1934.62,165.95,1667.65,101.02,11.22
96,Washington,Seattle,721365,632.69,3.74,36.87,210.02,382.05,5258.64,1081.98,3673.45,503.21,20.66
97,Washington,Spokane,217066,626.54,2.76,109.64,105.5,408.63,7231.44,1023.19,5408.03,800.22,23.03
98,Wisconsin,Madison,255850,374.44,4.3,37.13,82.86,250.15,2662.11,362.32,2130.94,168.85,3.91
99,Wisconsin,Milwaukee,595168,1597.36,19.83,72.92,490.45,1014.17,3792.04,927.13,1940.29,924.61,52.59
